Started At,Duration,Preset,Activity
10/01/2018 01:08:49,0:19:59,,PracticeType.Meditation
09/28/2018 02:22:17,0:4:15,,PracticeType.Meditation
09/27/2018 01:47:19,0:4:15,,PracticeType.Meditation
09/22/2018 01:27:29,0:12:49,,PracticeType.Meditation
09/20/2018 10:12:22,0:4:57,,PracticeType.Meditation
09/18/2018 01:39:47,0:4:58,,PracticeType.Meditation
09/17/2018 01:40:41,0:1:0,,PracticeType.Meditation
09/16/2018 01:08:30,0:4:15,,PracticeType.Meditation
09/15/2018 02:07:46,0:7:6,,PracticeType.Meditation
09/14/2018 01:46:38,0:9:58,,PracticeType.Meditation
09/13/2018 01:14:22,0:18:1,,PracticeType.Meditation
09/12/2018 01:19:36,0:5:0,,PracticeType.Meditation
09/11/2018 01:51:18,0:2:0,,PracticeType.Meditation
09/10/2018 02:10:51,0:4:15,,PracticeType.Meditation
09/08/2018 17:43:28,0:8:45,,PracticeType.Meditation
09/08/2018 02:44:02,0:4:59,,PracticeType.Meditation
09/07/2018 01:51:44,0:4:42,,PracticeType.Meditation
09/06/2018 02:00:48,0:7:40,,PracticeType.Meditation
09/05/2018 10:13:16,0:10:25,,PracticeType.Meditation
09/05/2018 01:35:22,0:18:1,,PracticeType.Meditation
09/04/2018 10:13:39,0:5:0,,PracticeType.Meditation
09/04/2018 02:35:56,0:5:0,,PracticeType.Meditation
09/03/2018 02:02:31,0:1:0,,PracticeType.Meditation
09/02/2018 00:56:50,0:4:15,,PracticeType.Meditation
09/01/2018 01:29:07,0:7:6,,PracticeType.Meditation
08/31/2018 01:10:12,0:7:6,,PracticeType.Meditation
08/29/2018 22:11:54,0:4:15,,PracticeType.Meditation
08/29/2018 01:21:02,0:12:48,,PracticeType.Meditation
08/27/2018 09:34:40,0:9:59,,PracticeType.Meditation
08/27/2018 01:55:31,0:12:48,,PracticeType.Meditation
08/25/2018 13:48:40,0:20:9,,PracticeType.Meditation
08/25/2018 13:42:29,0:4:58,,PracticeType.Meditation
08/24/2018 23:35:41,0:4:42,,PracticeType.Meditation
08/24/2018 23:29:34,0:4:59,,PracticeType.Meditation
08/24/2018 01:14:09,0:0:33,,PracticeType.Meditation
08/23/2018 21:33:16,0:15:36,,PracticeType.Meditation
08/22/2018 09:57:45,0:10:28,,PracticeType.Meditation
08/22/2018 01:28:57,0:17:50,,PracticeType.Meditation
08/21/2018 21:25:07,0:9:54,,PracticeType.Meditation
08/21/2018 19:09:13,0:13:14,,PracticeType.Meditation
08/21/2018 18:54:10,0:14:24,,PracticeType.Meditation
08/20/2018 17:31:24,0:12:36,,PracticeType.Meditation
08/20/2018 17:16:37,0:6:20,,PracticeType.Meditation
08/20/2018 10:15:50,0:4:15,,PracticeType.Meditation
08/19/2018 21:43:34,0:9:54,,PracticeType.Meditation
08/19/2018 21:27:57,0:13:34,,PracticeType.Meditation
08/19/2018 20:52:12,0:12:48,,PracticeType.Meditation
08/18/2018 22:46:13,0:12:48,,PracticeType.Meditation
08/14/2018 13:33:53,0:11:32,,PracticeType.Meditation
06/06/2018 02:35:23,0:4:59,,PracticeType.Meditation
06/05/2018 02:06:18,0:10:18,,PracticeType.Meditation
06/04/2018 02:26:35,0:12:57,,PracticeType.Meditation
06/02/2018 19:43:07,0:15:20,,PracticeType.Meditation
06/02/2018 19:29:05,0:11:45,,PracticeType.Meditation
06/01/2018 21:49:05,0:11:32,,PracticeType.Meditation
06/01/2018 10:06:23,0:6:1,,PracticeType.Meditation
05/31/2018 15:31:41,0:12:30,,PracticeType.Meditation
05/31/2018 15:17:39,0:11:57,,PracticeType.Meditation
05/30/2018 15:36:36,0:9:55,,PracticeType.Meditation
05/30/2018 15:22:22,0:11:29,,PracticeType.Meditation
05/28/2018 17:22:35,0:10:42,,PracticeType.Meditation
05/28/2018 14:16:20,0:15:42,,PracticeType.Meditation
05/27/2018 19:39:23,0:18:45,,PracticeType.Meditation
05/27/2018 19:27:06,0:11:1,,PracticeType.Meditation
